Mongolia,3359247,1.68553,1.46819,0.00798
Guatemala,18446417,1.37608,1.25964,0.04402
Guam,171041,0.00175,0.00000,0.00000
Azerbaijan,10272912,3.24857,3.15020,0.04773
Libya,7007887,2.63724,2.44409,0.04446
Grenada,113237,0.14218,0.14130,0.00088
Armenia,2970929,7.49109,7.16113,0.14904
Tunisia,12003225,2.86068,2.50993,0.10476
Liberia,5252834,0.04148,0.03870,0.00164
Honduras,10156097,2.33310,0.83092,0.06199
Syria,18646187,0.13107,0.11580,0.00946
Trinidad and Tobago,1405746,1.63621,0.94477,0.03343
Saudi Arabia,35659227,1.25713,1.20849,0.02057
Uganda,47942521,0.09580,0.09053,0.00076
Namibia,2614500,2.09061,1.92163,0.03129
Mayotte,283394,0.00247,0.00000,0.00000
Switzerland,8752564,7.91794,3.62865,0.12345
Zambia,19238117,0.49252,0.47611,0.00663
Ethiopia,119590501,0.22677,0.19799,0.00346
Latvia,1855735,7.16255,6.75420,0.12771
Jamaica,2980575,1.62298,0.83427,0.03160
United Arab Emirates,10051436,5.64360,5.44209,0.01664
Brunei,443903,0.05429,0.05136,0.00068
South Sudan,11493450,0.09299,0.09148,0.00100
Saint Lucia,184831,2.72411,2.58182,0.04166
Guinea,13709966,0.16902,0.15296,0.00117
Canada,38261228,1.40387,1.34733,0.02908
Seychelles,99124,11.24349,10.02381,0.04035
North Macedonia,2082011,7.45654,7.08320,0.25927
Uzbekistan,34207969,0.29187,0.27926,0.00201
Kyrgyzstan,6689349,1.55803,1.46502,0.02686
Samoa,201011,0.00149,0.00149,0.00000
Czech Republic,10732960,15.47509,15.07038,0.28045
Mozambique,32696683,0.21630,0.21256,0.00256
Brazil,214832901,1.51508,1.34788,0.05173
Belize,409224,3.12567,3.02475,0.07917
Kenya,55703607,0.30606,0.20848,0.00564
Gambia,2528326,0.23692,0.22810,0.00704
Lebanon,6752766,7.99868,7.66884,0.11429
Slovenia,2078724,12.19464,11.76905,0.21032
Antigua and Barbuda,99162,1.26964,1.21619,0.04235
Dominican Republic,11015774,2.63736,2.16789,0.03293
Japan,125802521,0.12743,0.12101,0.00182
Tanzania,62539416,0.00081,0.00029,0.00003
Botswana,2423535,2.21870,2.08349,0.03429
Luxembourg,640202,10.90749,10.62055,0.12715
New Zealand,4883704,0.05471,0.05385,0.00053
Bosnia and Herzegovina,3251612,6.26886,5.35845,0.28327
Greenland,56877,0.00176,0.00000,0.00000
Haiti,11623799,0.12154,0.10778,0.00260
Poland,37764461,7.60337,6.98189,0.19511
Portugal,10150252,8.35657,7.96588,0.16771
Australia,25959987,0.07933,0.07598,0.00316
Cameroon,27624492,0.28572,0.12764,0.00462
Papua New Guinea,9220306,0.17106,0.16113,0.00176
Romania,19062255,5.65214,5.44814,0.15867
Guinea-Bissau,2043512,0.18405,0.17206,0.00333
Bulgaria,6866274,6.09095,5.53953,0.25716
Solomon Islands,714126,0.00280,0.00280,0.00000
Nepal,29960704,1.84716,1.45107,0.02391
Austria,9065484,7.10615,6.92376,0.11684
Egypt,105390688,0.24733,0.18168,0.01423
Costa Rica,5165346,6.08095,4.68544,0.07670
Kazakhstan,19123199,2.29415,2.10358,0.01800
El Salvador,6537250,1.12044,1.04643,0.03428
Serbia,8674489,8.20851,0.17942,0.07890
South Africa,60474550,2.74342,2.56998,0.09320
Burkina Faso,21847968,0.06147,0.06064,0.00076
Bahrain,1775452,13.27538,11.60054,0.05289
Micronesia,116901,0.00086,0.00086,0.00000
Colombia,51504213,1.84661,1.68747,0.03627
Hungary,9618215,8.35947,7.19726,0.30888
Pakistan,227724796,0.14890,0.13557,0.00438
Vatican City,800,0.12500,0.00000,0.00000
Vanuatu,318774,0.00125,0.00094,0.00031
Mauritius,1274295,0.10696,0.09284,0.00133
Moldova,4017984,6.34908,6.15605,0.15182
Vietnam,98655916,0.00700,0.00294,0.00005
Netherlands,17195298,2.27713,0.07049,0.03569
Mali,21212426,0.06725,0.04568,0.00244
