Brazil,214832901,2021
Nigeria,214507696,2021
Bangladesh,167247491,2021
Russia,145899956,2021
Mexico,131046075,2021
Japan,125802521,2021
Ethiopia,119590501,2021
Philippines,111913102,2021
Egypt,105390688,2021
Vietnam,98655916,2021
Turkey,85484777,2021
Iran,85627052,2021
Germany,83975691,2021
Thailand,70039646,2021
UK,68401087,2021
France,65520147,2021
Tanzania,62539416,2021
Italy,60320493,2021
South Africa,60474550,2021
Kenya,55703607,2021
Myanmar,55037700,2021
South Korea,51331264,2021
Colombia,51504213,2021
Uganda,47942521,2021
Spain,46736811,2021
Argentina,45847428,2021
Sudan,45532863,2021
Algeria,45061896,2021
Ukraine,43312073,2021
Iraq,41750703,2021
Afghanistan,40374668,2021
Canada,38261228,2021
Poland,37764461,2021
Morocco,37599544,2021
Saudi Arabia,35659227,2021
Uzbekistan,34207969,2021
Angola,34566172,2021
Peru,33587011,2021
Malaysia,33015425,2021
Mozambique,32696683,2021
Ghana,32120718,2021
Yemen,30882462,2021
Nepal,29960704,2021
Venezuela,28842889,2021
Madagascar,28860961,2021
Cameroon,27624492,2021
Ivory Coast,27451054,2021
North Korea,25950189,2021
Australia,25959987,2021
Niger,25677816,2021
Taiwan,23877855,2021
Sri Lanka,21547096,2021
Burkina Faso,21847968,2021
Mali,21212426,2021
Malawi,19953296,2021
Chile,19275294,2021
Romania,19062255,2021
Kazakhstan,19123199,2021
Zambia,19238117,2021
Syria,18646187,2021
Guatemala,18446417,2021
Ecuador,18033738,2021
Senegal,17462688,2021
Netherlands,17195298,2021
Cambodia,17080063,2021
Chad,17203787,2021
Somalia,16634297,2021
Zimbabwe,15229891,2021
Guinea,13709966,2021
Rwanda,13466174,2021
Benin,12644580,2021
Burundi,12469663,2021
Tunisia,12003225,2021
Bolivia,11927124,2021
Belgium,11658404,2021
Haiti,11623799,2021
South Sudan,11493450,2021
Cuba,11312548,2021
Dominican Republic,11015774,2021
Czech Republic,10732960,2021
Greece,10340571,2021
Jordan,10322902,2021
Azerbaijan,10272912,2021
Portugal,10150252,2021
Sweden,10196161,2021
Honduras,10156097,2021
United Arab Emirates,10051436,2021
Tajikistan,9873338,2021
Hungary,9618215,2021
Belarus,9438767,2021
Papua New Guinea,9220306,2021
Austria,9065484,2021
Israel,8868656,2021
Switzerland,8752564,2021
Serbia,8674489,2021
Togo,8596357,2021
Sierra Leone,8238113,2021
Hong Kong,7585785,2021
Laos,7439920,2021
Paraguay,7270717,2021
Libya,7007887,2021
Bulgaria,6866274,2021
Lebanon,6752766,2021
Nicaragua,6748507,2021
Kyrgyzstan,6689349,2021
El Salvador,6537250,2021
Turkmenistan,6168788,2021
Singapore,5925135,2021
Denmark,5825798,2021
Finland,5553102,2021
Norway,5492570,2021
Slovakia,5460937,2021
Oman,5296006,2021
Palestine,5293440,2021
Liberia,5252834,2021
Costa Rica,5165346,2021
Ireland,5008554,2021
Central African Republic,4971922,2021
New Zealand,4883704,2021
Mauritania,4848828,2021
Panama,4420589,2021
Kuwait,4366698,2021
Croatia,4067642,2021
Moldova,4017984,2021
Georgia,3973946,2021
Eritrea,3633796,2021
Uruguay,3491832,2021
Mongolia,3359247,2021
Bosnia and Herzegovina,3251612,2021
Jamaica,2980575,2021
Armenia,2970929,2021
Qatar,2962425,2021
Albania,2869700,2021
Puerto Rico,2806918,2021
Lithuania,2670680,2021
Namibia,2614500,2021
Gambia,2528326,2021
Botswana,2423535,2021
Gabon,2310507,2021
Lesotho,2169209,2021
North Macedonia,2082011,2021
Slovenia,2078724,2021
Guinea-Bissau,2043512,2021
Latvia,1855735,2021
Bahrain,1775452,2021
Equatorial Guinea,1477483,2021
Trinidad and Tobago,1405746,2021
Timor-Leste,1358744,2021
Estonia,1324323,2021
Mauritius,1274295,2021
Cyprus,1220541,2021
Djibouti,1010377,2021
Fiji,906570,2021
Comoros,899658,2021
Guyana,792481,2021
Bhutan,784855,2021
Solomon Islands,714126,2021
Macau,663998,2021
Luxembourg,640202,2021
Montenegro,628053,2021
Western Sahara,620280,2021
Suriname,594817,2021
Cabo Verde,565346,2021
Maldives,546203,2021
Malta,443646,2021
Brunei,443903,2021
Belize,409224,2021
Bahamas,399068,2021
Martinique,374314,2021
Iceland,344646,2021
Vanuatu,318774,2021
New Caledonia,289727,2021
Barbados,287927,2021
French Polynesia,283392,2021
Mayotte,283394,2021
Sao Tome and Principe,225954,2021
Samoa,201011,2021
Saint Lucia,184831,2021
Guam,171041,2021
Kiribati,122470,2021
Micronesia,116901,2021
Grenada,113237,2021
Aruba,107204,2021
Tonga,107407,2021
Seychelles,99124,2021
Antigua and Barbuda,99162,2021
Andorra,77355,2021
Dominica,72167,2021
Cayman Islands,66497,2021
Bermuda,62090,2021
Marshall Islands,59610,2021
Northern Mariana Islands,57917,2021
Greenland,56877,2021
American Samoa,55100,2021
Saint Kitts and Nevis,53544,2021
Sint Maarten,43412,2021
Monaco,39511,2021
Saint Martin,39234,2021
Liechtenstein,38250,2021
San Marino,34017,2021
Gibraltar,33698,2021
Palau,18169,2021
Cook Islands,17565,2021
Anguilla,15117,2021
Tuvalu,11931,2021
Nauru,10876,2021
Saint Barthelemy,9907,2021
Montserrat,4977,2021
Falkland Islands,3533,2021
Niue,1619,2021
Tokelau,1373,2021
Vatican City,800,2021
Holy See,800,2021
